TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	6.5765733793386385	0.8588212690964054	0	True
1.5	2	0	3.220641709362158	0.14117873090359456	0	True
2.0	3	1	1.4234266206613615	0.5679354595379721	0	False
2.0	4	1	1.4234266206613615	0.2908858095584333	0	True
2.0	5	2	4.779358290637842	0.03128467741182717	0	False
2.0	6	2	4.779358290637842	0.10989405349176738	0	True
3.0	7	4	7	0.23653237155327214	1	False
3.0	8	4	7	0.05435343800516118	1	True
3.0	9	3	7	0.31490337312347544	1	False
3.0	10	3	7	0.25303208641449676	1	True
3.0	11	6	7	0.09325606253219917	1	False
3.0	12	6	7	0.016637990959568222	1	True
3.0	13	5	7	0.004707084065423765	1	False
3.0	14	5	7	0.026577593346403413	1	True
