TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	3.952405986892752	0.9557067666235908	0	True
1.5	2	0	2.299086495255618	0.044293233376409225	0	True
2.0	3	1	4.047594013107248	0.1352879587318967	0	False
2.0	4	1	4.047594013107248	0.8204188078916942	0	True
2.0	5	2	5.700913504744382	0.04361598622044907	0	False
2.0	6	2	5.700913504744382	0.0006772471559601547	0	True
2.5	7	4	3.0224544720338935	0.4318722401056921	1	False
2.5	8	4	1.347658646319077	0.3885465677860021	1	True
2.5	9	3	3.70208911890741	0.12641872596721448	1	False
2.5	10	3	0.9728161595477702	0.008869232764682211	1	True
3.0	11	6	7	0.005887291229415051	1	False
3.0	12	6	7	0.009402790445246787	1	True
3.0	13	5	7	0.9847099183253382	1	False
