TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	2.9259370939367133	0.908784018128887	0	True
1.5	2	0	4.866331164428338	0.09121598187111302	0	True
2.0	3	1	5.074062906063286	0.8959066619522281	0	False
2.0	4	1	5.074062906063286	0.012877356176658855	0	True
2.0	5	2	3.1336688355716618	0.058010312536277024	-1	True
2.0	6	2	3.1336688355716618	0.03320566933483599	-1	True
3.0	7	4	7	0.007828272003321955	1	False
3.0	8	4	7	0.02202904111807319	1	True
3.0	9	3	7	0.8356405389295521	1	False
3.0	10	3	7	0.1345021479490527	1	True
