0	1	-1	subclone		
1	2	7	subclone	0,1,2,3,4,5,6,7,8,9,10,23,24	2
2	2	7	subclone	0,1,2,3,4,5,6,7,8,9,10,25	1
3	2	8	subclone	11,12,13,14,15,16,17,18,19,20,21,22,26,27,28,29,30,32,34,37	6
4	2	8	subclone	11,12,13,14,15,16,17,18,19,20,21,22,33,34,35,36,37,38,39,40,41,42,43,44	10
5	3	4	subclone	9,11,13,14,15,18,19,21,22,25,26,27,33,34,35,39,40,41,43,44	4
6	3	4	subclone	11,12,13,14,15,16,17,18,19,20,21,22,33,34,35,36,37,38,39,40,41,42,43,44	0
7	1.5	0	unobserved subclone	0,1,2,3,4,5,6,7,8,9,10	11
8	1.5	0	unobserved subclone	11,12,13,14,15,16,17,18,19,20,21,22,34,37	14
