TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	1.6776985015719268	0.9337275184335355	0	True
1.5	2	0	2.858225522315324	0.06627248156646448	0	True
2.0	3	1	6.322301498428073	0.9337275184335355	0	False
2.0	4	2	5.141774477684676	0.024988724655195832	0	False
2.0	5	2	5.141774477684676	0.04128375691126865	0	True
3.0	6	3	7	0.9435731751154736	1	False
2.5	7	5	3.78072925798452	0.027587946461035184	0	False
2.5	8	5	2.018859463492115	0.013695810450233466	0	True
2.5	9	4	2.73274785726435	0.00588367655445479	0	False
2.5	10	4	3.9771894892392297	0.01910504810074104	-1	True
3.0	11	8	4.981140536507885	0.00880408898648612	1	False
3.0	12	8	4.981140536507885	0.005036136451001999	1	True
3.0	13	7	3.21927074201548	0.017334382071517416	1	False
3.0	14	7	3.21927074201548	0.019306500602438083	1	True
3.0	15	9	4.26725214273565	0.005883249230204396	1	True
3.0	16	9	4.26725214273565	6.246754287853764e-05	1	True
